iter	Passed	Remaining
0	1579	1261800
1	2859	1140927
2	4158	1104764
3	5456	1085802
4	6866	1091802
5	8247	1091372
6	9633	1091333
7	11243	1113113
8	12702	1116381
9	14118	1115389
10	15673	1124244
11	17084	1121892
12	18458	1117448
13	19813	1112403
14	21204	1109679
15	22626	1108703
16	24009	1105836
17	25453	1105814
18	26910	1106174
19	28314	1104247
20	29670	1100647
21	30926	1093663
22	32220	1088492
23	33576	1085635
24	34832	1079799
25	36192	1077421
26	37499	1073598
27	38846	1071052
28	40174	1068090
29	41602	1067784
30	42828	1062429
31	44204	1060896
32	45541	1058487
33	46837	1055230
34	48284	1055362
35	49642	1053526
36	51038	1052499
37	52363	1050035
38	53706	1047968
39	55031	1045598
40	56404	1044165
41	57672	1040856
42	59040	1039387
43	60491	1039352
44	61728	1035662
45	63041	1033339
46	64427	1032203
47	65749	1030074
48	67206	1030044
49	68622	1029336
50	70382	1033650
51	71915	1034481
52	73182	1031453
53	74495	1029146
54	75826	1027102
55	77060	1023800
56	78358	1021408
57	79569	1017944
58	80847	1015385
59	82162	1013340
60	83331	1009544
61	84605	1007083
62	85881	1004673
63	87088	1001516
64	88351	999046
65	89656	997093
66	90943	994945
67	92219	992716
68	93492	990481
69	94716	987760
70	96076	986480
71	97274	983557
72	98591	981866
73	99882	979924
74	101080	977115
75	102491	976361
76	103872	975318
77	105038	972281
78	106337	970497
79	107610	968498
80	108979	967359
81	110317	965955
82	111631	964335
83	112904	962378
84	114165	960329
85	115435	958386
86	116735	956694
87	118031	954983
88	119359	953537
89	120551	951013
90	121804	949004
91	122973	946360
92	124239	944486
93	125546	942935
94	126834	941248
95	128069	939178
96	129253	936758
97	130547	935143
98	131989	934594
99	133237	932663
100	134648	931872
101	135902	930001
102	137380	929654
103	138552	927234
104	139835	925579
105	141010	923218
106	142232	921186
107	143437	919060
108	144723	917469
109	146016	915922
110	147260	914078
111	148524	912363
112	149856	911074
113	151182	909744
114	152437	907995
115	153642	905959
116	154961	904601
117	156137	902423
118	157350	900470
119	158719	899412
120	159869	897116
121	161135	895489
122	162351	893592
123	163574	891742
124	164836	890118
125	166064	888312
126	167197	886015
127	168425	884236
128	169662	882505
129	170873	880656
130	172018	878475
131	173168	876336
132	174476	875006
